marque,modele,kilometrage,annee,energie,boite,puissance,prix
0,0,213,2008,0,0,9,10000
1,1,180,2009,1,0,6,10000
2,2,44000,2017,0,1,5,102000
3,3,78000,2012,0,1,11,107500
1,4,200000,1996,0,0,4,11000
4,5,197,2000,0,0,4,11000
1,6,360000,2004,1,0,7,11000
5,7,120000,2010,0,1,21,110000
6,8,145000,2012,1,1,9,115000
7,9,218,2002,0,0,5,11700
1,10,177000,2001,1,0,7,12500
3,11,51000,2014,0,0,8,129000
3,12,200,1998,0,1,6,13000
8,13,165000,2004,1,0,5,13500
0,14,114000,2011,1,1,16,135000
1,15,300,2003,0,0,4,13800
8,13,313000,2004,1,0,6,13800
0,16,209,2002,0,0,4,13900
9,17,203000,2012,1,0,6,14000
3,3,55000,2015,0,1,10,140000
7,9,270000,1999,0,0,4,14500
3,18,81000,2015,0,1,8,148500
8,19,237000,2001,0,0,4,14900
0,20,300000,2000,0,1,6,15000
0,16,148500,2004,0,0,4,15000
0,16,211,2004,0,0,4,15000
0,21,117000,2011,0,0,5,15000
10,22,45000,2009,0,0,22,150000
11,23,178000,2005,0,0,4,16500
3,24,105000,2013,1,1,11,165000
3,11,29000,2016,0,0,8,165000
8,13,50000,2008,1,0,6,17000
4,25,120000,2002,1,0,5,17000
1,26,100000,2011,0,0,5,17000
12,27,153000,2010,0,0,6,17500
11,23,131500,2007,0,0,4,18000
7,28,133000,2010,0,0,5,18500
8,13,240,2008,0,1,7,19000
7,29,160000,2015,1,0,5,19100
8,19,130,2007,0,0,7,19850
8,30,180000,2009,0,0,5,20000
8,19,246000,2009,0,0,4,20000
13,31,12000,2017,1,0,12,200000
7,32,185000,2009,0,0,4,21000
1,26,145,2007,0,0,6,21000
8,33,310,2008,1,0,5,21000
12,27,167000,2010,0,0,6,21500
7,28,159000,2014,1,0,4,22000
7,32,57000,2011,0,0,4,22500
4,5,145000,2011,0,0,5,22600
0,21,165000,2011,0,0,4,23000
8,19,240000,2009,0,0,4,23000
7,28,99000,2014,0,0,4,23500
8,30,129000,2010,0,0,5,24000
7,28,79000,2015,0,0,4,24000
7,34,120000,2003,0,0,8,24000
12,27,138000,2011,0,0,5,24500
12,27,138000,2011,0,0,5,24500
10,35,200,2004,0,0,16,24500
12,36,110000,2012,0,0,4,24800
8,30,93000,2015,0,0,5,24800
7,28,120000,2015,0,0,4,25000
8,37,222000,2011,1,0,7,25000
13,38,197000,2004,1,0,7,25000
1,26,139500,2011,0,0,5,25000
3,39,10000,2016,0,0,19,250000
0,21,155000,2012,0,0,5,25200
8,30,85500,2015,0,0,5,25500
1,26,163000,2012,0,0,5,25500
7,28,68000,2013,0,0,4,26000
14,40,62000,2017,1,0,5,26000
8,30,103000,2014,0,0,5,26000
15,41,122000,2011,0,0,6,26500
7,42,148,2010,0,0,4,26500
16,43,92300,2015,0,0,5,26500
7,28,29945,2014,0,0,4,26500
8,44,400,1986,0,0,6,2700
0,45,126000,2014,1,0,5,27000
0,46,201000,2008,1,0,6,27500
3,3,116500,1997,0,0,9,27500
8,30,56000,2016,0,0,5,27500
8,47,250,2011,1,0,6,27500
1,48,73000,2013,0,0,5,28000
1,49,110000,2012,0,0,6,28500
0,45,132000,2014,1,0,5,28500
17,50,29000,2013,0,0,5,28800
11,51,143000,2011,0,0,5,28900
1,48,125200,2013,0,0,5,29000
3,3,235150,2003,0,1,10,29000
8,47,130000,2012,1,0,6,30000
0,52,230000,2010,0,0,7,30000
0,46,233147,2008,1,0,6,30000
8,37,337600,2013,1,0,7,30000
8,30,34000,2016,0,0,5,30000
2,2,155000,2011,0,0,5,30500
8,19,120000,2014,1,0,4,30800
9,53,165000,2011,0,0,5,30900
15,41,125000,2013,0,0,7,31000
7,42,86000,2012,0,0,5,31500
14,54,56000,2012,0,0,7,31500
0,46,181650,2010,0,0,7,31500
15,41,60000,2013,0,0,7,31900
3,55,260000,2002,1,0,9,32000
18,56,120,2015,0,0,4,32000
9,53,27000,2017,0,0,5,32200
8,19,54000,2013,0,0,5,33000
0,57,190000,2012,1,0,5,33000
1,48,62500,2013,1,0,6,33000
1,48,105000,2013,1,0,6,33000
8,30,110000,2014,0,0,5,33000
0,21,100000,2016,0,0,5,33500
0,21,102000,2012,0,1,5,34000
15,58,125000,2014,0,0,7,34000
11,59,170000,2014,0,0,6,34500
0,57,178000,2010,1,0,5,35000
19,60,52120,2015,0,0,5,35000
8,19,73500,2014,0,0,5,35200
8,19,73500,2014,0,0,5,35200
8,61,82000,2010,1,0,6,35500
8,47,105000,2011,1,0,6,36000
9,62,200000,2012,1,0,6,36000
20,63,107,2017,0,0,5,36000
8,19,72000,2015,0,0,5,36000
0,46,122000,2010,0,0,7,36500
0,0,130,2009,0,0,9,36900
16,64,75000,2015,0,0,7,37000
10,65,170000,2010,0,1,7,37500
8,66,34000,2016,0,1,5,38000
12,27,53000,2015,0,0,5,38500
21,67,200000,2013,1,0,8,39000
12,68,107000,2013,0,1,8,39000
8,19,10000,2018,0,0,5,39000
15,58,930000,2019,0,0,7,39500
16,69,103,2013,0,0,5,39500
22,70,300000,2006,1,0,9,4000
0,57,152000,2009,1,1,5,40000
8,19,60000,2016,0,0,5,40000
0,57,141000,2012,0,0,5,41000
8,19,60000,2016,0,0,5,41500
3,11,186000,2009,0,0,9,43800
3,11,204000,2004,0,1,9,444444
12,68,97000,2014,0,1,8,45000
10,71,170,2010,0,0,7,45500
13,38,75000,2011,0,0,7,46000
11,72,59000,2013,0,0,7,46000
10,71,170000,2010,0,0,7,46500
3,11,209000,2009,1,0,9,47000
0,45,22000,2017,1,0,201,48000
3,11,171000,2009,0,1,9,49000
10,71,136000,2010,0,0,7,52500
0,0,121000,2010,0,0,11,53000
0,73,179000,2013,1,0,5,53500
19,74,65000,2015,0,0,7,54000
22,75,51000,2016,0,1,6,55000
0,76,108000,2015,1,0,7,55000
11,77,191000,1991,0,0,4,5800
17,78,191800,2013,1,0,7,58000
10,71,117800,2006,1,0,9,59000
12,79,103000,2013,1,1,11,61500
0,73,64000,2016,0,0,5,62000
23,80,246000,2005,1,0,11,63000
0,73,54000,2015,0,0,5,68000
3,55,152,2010,1,1,10,70000
16,69,8000,2018,0,0,6,71800
0,73,8400,2017,0,0,6,75000
3,3,189000,2010,1,1,10,78000
