numero,marque
0,Renault
1,Daewoo
2,Volkswagen
3,Fiat
4,Alfaromeo
5,Peugeot
6,Mini
7,BMW
8,Bmw
9,Citroen
10,Mercedes-Benz
11,Honda
12,Opel
13,Mercedes
14,Audi
15,Mazda
16,Citroën
17,Suzuki
18,Toyota
19,Porsche
20,Ford
21,Land
22,Land-Rover
23,Nissan
24,KIA
25,Jaguar
26,Accessoires
27,Hummer
28,Hyundai
29,Volvo
30,Chevrolet
31,Dacia
32,Kia
33,Seat
34,Isuzu
35,Voiliers
36,Mitsubishi
37,Iveco
38,Mahindra
39,Chery
40,Smart
41,Kawasaki
42,Alfa
43,Ssangyong
44,Mg
45,MG
46,Skoda
47,Austin
48,Tata
49,DS
50,Chrysler
51,Lada
52,BAIC
53,Wallyscar
54,Great
55,RenaultTrucks
56,Haval
57,Cadillac
58,Dodge
59,Jeep
60,Aston
61,Maserati
